,VYM,VYM,VYM,VYM,VYM
,open,high,low,close,volume
time,,,,,
2020-10-01 00:00:00-04:00,81.23,81.5,80.42,80.89,1323404
2020-10-02 00:00:00-04:00,79.87,81.44,79.811,80.96,1696592
2020-10-05 00:00:00-04:00,81.55,82.41,81.51,82.34,1415965
2020-10-06 00:00:00-04:00,82.61,83.39,81.59,81.72,1811439
2020-10-07 00:00:00-04:00,82.36,83.23,82.345,83.03,1110569
2020-10-08 00:00:00-04:00,83.42,84.07,83.305,84.06,1382419
2020-10-09 00:00:00-04:00,84.5,84.64,83.93,84.1012,1159260
2020-10-12 00:00:00-04:00,84.24,85.0,84.14,84.795,1280978
2020-10-13 00:00:00-04:00,84.57,84.65,83.71,83.98,1213235
2020-10-14 00:00:00-04:00,84.06,84.425,83.5715,83.62,1088504
2020-10-15 00:00:00-04:00,82.92,83.85,82.75,83.8,1374333
2020-10-16 00:00:00-04:00,84.01,84.39,83.795,84.03,1071985
2020-10-19 00:00:00-04:00,84.13,84.36,82.71,82.83,980488
2020-10-20 00:00:00-04:00,83.3,83.76,82.86,83.02,1640177
2020-10-21 00:00:00-04:00,83.0,83.34,82.66,82.66,817804
2020-10-22 00:00:00-04:00,82.75,83.91,82.6839,83.78,1773026
2020-10-23 00:00:00-04:00,84.0,84.18,83.39,83.8,1006500
2020-10-26 00:00:00-04:00,83.01,83.055,81.53,82.3,2088603
2020-10-27 00:00:00-04:00,82.29,82.3,81.21,81.22,1666649
2020-10-28 00:00:00-04:00,79.91,80.44,78.7899,78.8727,4157875
2020-10-29 00:00:00-04:00,78.79,80.189,77.965,79.54,2671541
2020-10-30 00:00:00-04:00,79.21,79.66,78.49,79.56,2436275
